,,TAP_BASE,HOLD_BASE
A,BASE,KC_A,_A_BRAC
R,BASE,KC_R,
T,BASE,KC_T,
S,BASE,KC_S,_A_NUM
E,BASE,KC_E,_A_SYM
Y,BASE,KC_Y,
I,BASE,KC_I,
O,BASE,KC_O,_A_CUSTOM
A,NUM,KC_1,
R,NUM,KC_2,
T,NUM,KC_3,
S,NUM,,
E,NUM,KC_4,
Y,NUM,KC_5,
I,NUM,KC_6,
O,NUM,,
A,NAV,KC_END,
R,NAV,KC_UP,
T,NAV,KC_HOME,
S,NAV,KC_PGUP,
E,NAV,KC_RIGHT,
Y,NAV,KC_DOWN,
I,NAV,KC_LEFT,
O,NAV,KC_PGDOWN,
A,BRAC,,
R,BRAC,KC_RPRN,
T,BRAC,KC_LPRN,
S,BRAC,KC_RCBR,
E,BRAC,,
Y,BRAC,KC_RBRC,
I,BRAC,KC_LBRC,
O,BRAC,KC_LCBR,
A,SYM,KC_EXLM,
R,SYM,KC_BSLS,
T,SYM,KC_SCLN,
S,SYM,KC_GRAVE,
E,SYM,,
Y,SYM,KC_QUES,
I,SYM,KC_MINS,
O,SYM,KC_EQL,
A,MOU,KC_MS_BTN1,
R,MOU,KC_MS_UP,
T,MOU,KC_MS_BTN2,
S,MOU,KC_PGUP,
E,MOU,KC_MS_RIGHT,
Y,MOU,KC_MS_DOWN,
I,MOU,KC_MS_LEFT,
O,MOU,KC_PGDN,
A,CUSTOM,KC__MUTE,
R,CUSTOM,KC_INS,
T,CUSTOM,KC__VOLUP,
S,CUSTOM,,
E,CUSTOM,KC_RSFT,
Y,CUSTOM,KC_PSCR,
I,CUSTOM,KC__VOLDOWN,
O,CUSTOM,,
